"Time Stamp","Time Zone","Name","PTID","Load"
"11/30/2020 00:00:00","EST","CAPITL",61757,1174.7996
"11/30/2020 00:00:00","EST","CENTRL",61754,1543.5177
"11/30/2020 00:00:00","EST","DUNWOD",61760,530.4708
"11/30/2020 00:00:00","EST","GENESE",61753,933.6572
"11/30/2020 00:00:00","EST","HUD VL",61758,871.9124
"11/30/2020 00:00:00","EST","LONGIL",61762,1767.2712
"11/30/2020 00:00:00","EST","MHK VL",61756,694.1355
"11/30/2020 00:00:00","EST","MILLWD",61759,281.3925
"11/30/2020 00:00:00","EST","N.Y.C.",61761,4324.7334
"11/30/2020 00:00:00","EST","NORTH",61755,575.5662
"11/30/2020 00:00:00","EST","WEST",61752,1453.6176
"11/30/2020 00:05:00","EST","CAPITL",61757,1162.9423
"11/30/2020 00:05:00","EST","CENTRL",61754,1537.8585
"11/30/2020 00:05:00","EST","DUNWOD",61760,525.5617
"11/30/2020 00:05:00","EST","GENESE",61753,929.0637
"11/30/2020 00:05:00","EST","HUD VL",61758,872.9847
"11/30/2020 00:05:00","EST","LONGIL",61762,1759.3295
"11/30/2020 00:05:00","EST","MHK VL",61756,698.1599
"11/30/2020 00:05:00","EST","MILLWD",61759,266.077
"11/30/2020 00:05:00","EST","N.Y.C.",61761,4279.2197
"11/30/2020 00:05:00","EST","NORTH",61755,563.6429
"11/30/2020 00:05:00","EST","WEST",61752,1446.1401
"11/30/2020 00:10:00","EST","CAPITL",61757,1164.4387
"11/30/2020 00:10:00","EST","CENTRL",61754,1487.5929
"11/30/2020 00:10:00","EST","DUNWOD",61760,521.9852
"11/30/2020 00:10:00","EST","GENESE",61753,930.1192
"11/30/2020 00:10:00","EST","HUD VL",61758,870.5341
"11/30/2020 00:10:00","EST","LONGIL",61762,1748.1812
"11/30/2020 00:10:00","EST","MHK VL",61756,696.8203
"11/30/2020 00:10:00","EST","MILLWD",61759,272.4685
"11/30/2020 00:10:00","EST","N.Y.C.",61761,4262.9746
"11/30/2020 00:10:00","EST","NORTH",61755,563.6116
"11/30/2020 00:10:00","EST","WEST",61752,1451.5369
"11/30/2020 00:15:00","EST","CAPITL",61757,1155.6984
"11/30/2020 00:15:00","EST","CENTRL",61754,1524.9211
"11/30/2020 00:15:00","EST","DUNWOD",61760,530.248
"11/30/2020 00:15:00","EST","GENESE",61753,929.068
"11/30/2020 00:15:00","EST","HUD VL",61758,854.304
"11/30/2020 00:15:00","EST","LONGIL",61762,1727.4631
"11/30/2020 00:15:00","EST","MHK VL",61756,692.9341
"11/30/2020 00:15:00","EST","MILLWD",61759,264.863
"11/30/2020 00:15:00","EST","N.Y.C.",61761,4268.809
"11/30/2020 00:15:00","EST","NORTH",61755,578.5665
"11/30/2020 00:15:00","EST","WEST",61752,1459.1543
"11/30/2020 00:20:00","EST","CAPITL",61757,1152.5209
"11/30/2020 00:20:00","EST","CENTRL",61754,1527.8405
"11/30/2020 00:20:00","EST","DUNWOD",61760,521.3409
"11/30/2020 00:20:00","EST","GENESE",61753,931.5281
"11/30/2020 00:20:00","EST","HUD VL",61758,880.4809
"11/30/2020 00:20:00","EST","LONGIL",61762,1732.0264
"11/30/2020 00:20:00","EST","MHK VL",61756,688.7949
"11/30/2020 00:20:00","EST","MILLWD",61759,263.6965
"11/30/2020 00:20:00","EST","N.Y.C.",61761,4222.6113
"11/30/2020 00:20:00","EST","NORTH",61755,567.1655
"11/30/2020 00:20:00","EST","WEST",61752,1447.0403
"11/30/2020 00:25:00","EST","CAPITL",61757,1159.563
"11/30/2020 00:25:00","EST","CENTRL",61754,1508.5378
"11/30/2020 00:25:00","EST","DUNWOD",61760,523.1395
"11/30/2020 00:25:00","EST","GENESE",61753,927.7435
"11/30/2020 00:25:00","EST","HUD VL",61758,867.5989
"11/30/2020 00:25:00","EST","LONGIL",61762,1710.8506
"11/30/2020 00:25:00","EST","MHK VL",61756,692.26
"11/30/2020 00:25:00","EST","MILLWD",61759,264.0343
"11/30/2020 00:25:00","EST","N.Y.C.",61761,4211.2817
"11/30/2020 00:25:00","EST","NORTH",61755,573.3588
"11/30/2020 00:25:00","EST","WEST",61752,1445.7861
"11/30/2020 00:30:00","EST","CAPITL",61757,1159.1345
"11/30/2020 00:30:00","EST","CENTRL",61754,1526.0228
"11/30/2020 00:30:00","EST","DUNWOD",61760,517.9031
"11/30/2020 00:30:00","EST","GENESE",61753,921.0482
